"","Estimate","Std. Error","t value","Pr(>|t|)"
"(Intercept)",9.64513507166284,0.073413464272552,131.381009835671,1.06213444115172e-103
"X.mode.",0.191164781430644,0.0801992433676423,2.38362325382951,0.0192685636068448
"X.danceability.",0.125301728750141,0.041346394218978,3.03053582100825,0.00319612546354321
"X.instrumentalness.",0.0473129430645984,0.0295401454572373,1.6016489537294,0.112776886659435
"X.liveliness.",0.0767017724551878,0.0345172348601914,2.22212969161234,0.0288097809115666
"X.speechiness.",-0.128162651597867,0.0409788725064037,-3.1275299626128,0.0023823823734637
"X.valence.",-0.150025374924819,0.0298007443985894,-5.03428279905385,2.48393141760009e-06
"X.tempo.",-0.0438992483151276,0.0279676535094126,-1.56964359917979,0.12004669864198
"Country",-0.285237416662367,0.0860089554141565,-3.31636880472354,0.00132134304975912
"Pop.Rock",0.417923160053733,0.143790738840902,2.90646785337229,0.00461240307552675
"Rock",-0.257197878525494,0.0913854845260463,-2.81442813220723,0.00601459498652491
